mol,M-H,M-H[C13],M-H[2C13],M-Cl,M-Cl[C13],M+CH2O2-H,M+ACN-H,M-Cl[2C13],M+CH2O2-H[C13],M+ACN-H[C13],2M-H,M+NH3-H,M-2H,[M-H2O]-H,[M-CH2O2]-H,[M-CO]-H,[M-C2H2O2]-H,[M-CH4]-H,[M-CO2]-H,[M-C2H2]-H,M+CH2O2-H[2C13],M+ACN-H[2C13],2M-H[C13],M+NH3-H[C13],M-2H[C13],[M-H2O]-H[C13],[M-CH2O2]-H[C13],[M-CO]-H[C13],[M-C2H2O2]-H[C13],[M-CH4]-H[C13],[M-CO2]-H[C13],[M-C2H2]-H[C13],2M-H[2C13],2M-H[3C13],2M-H[4C13],M+NH3-H[2C13],M-2H[2C13],[M-H2O]-H[2C13],[M-CH2O2]-H[2C13],[M-CO]-H[2C13],[M-C2H2O2]-H[2C13],[M-CH4]-H[2C13],[M-CO2]-H[2C13],[M-C2H2]-H[2C13],[M-H2O]-Cl,[M-CH2O2]-Cl,[M-CO]-Cl,[M-C2H2O2]-Cl,[M-CH4]-Cl,[M-CO2]-Cl,[M-C2H2]-Cl,[M-H2O]-Cl[C13],[M-CH2O2]-Cl[C13],[M-CO]-Cl[C13],[M-C2H2O2]-Cl[C13],[M-CH4]-Cl[C13],[M-CO2]-Cl[C13],[M-C2H2]-Cl[C13],[M-H2O]+CH2O2-H,[M-CH2O2]+CH2O2-H,[M-CO]+CH2O2-H,[M-C2H2O2]+CH2O2-H,[M-CH4]+CH2O2-H,[M-CO2]+CH2O2-H,[M-C2H2]+CH2O2-H,[M-H2O]+ACN-H,[M-CH2O2]+ACN-H,[M-CO]+ACN-H,[M-C2H2O2]+ACN-H,[M-CH4]+ACN-H,[M-CO2]+ACN-H,[M-C2H2]+ACN-H,[M-H2O]-Cl[2C13],[M-CH2O2]-Cl[2C13],[M-CO]-Cl[2C13],[M-C2H2O2]-Cl[2C13],[M-CH4]-Cl[2C13],[M-CO2]-Cl[2C13],[M-C2H2]-Cl[2C13],[M-H2O]+CH2O2-H[C13],[M-CH2O2]+CH2O2-H[C13],[M-CO]+CH2O2-H[C13],[M-C2H2O2]+CH2O2-H[C13],[M-CH4]+CH2O2-H[C13],[M-CO2]+CH2O2-H[C13],[M-C2H2]+CH2O2-H[C13],[M-H2O]+ACN-H[C13],[M-CH2O2]+ACN-H[C13],[M-CO]+ACN-H[C13],[M-C2H2O2]+ACN-H[C13],[M-CH4]+ACN-H[C13],[M-CO2]+ACN-H[C13],[M-C2H2]+ACN-H[C13],[2M-H2O]-H,[2M-CH2O2]-H,[2M-CO]-H,[2M-C2H2O2]-H,[2M-CH4]-H,[2M-CO2]-H,[2M-C2H2]-H,[M-H2O]+NH3-H,[M-CH2O2]+NH3-H,[M-CO]+NH3-H,[M-C2H2O2]+NH3-H,[M-CH4]+NH3-H,[M-CO2]+NH3-H,[M-C2H2]+NH3-H,[M-H2O]-H-H,[M-CH2O2]-H-H,[M-CO]-H-H,[M-C2H2O2]-H-H,[M-CH4]-H-H,[M-CO2]-H-H,[M-C2H2]-H-H,[M-H2O]+CH2O2-H[2C13],[M-CH2O2]+CH2O2-H[2C13],[M-CO]+CH2O2-H[2C13],[M-C2H2O2]+CH2O2-H[2C13],[M-CH4]+CH2O2-H[2C13],[M-CO2]+CH2O2-H[2C13],[M-C2H2]+CH2O2-H[2C13],[M-H2O]+ACN-H[2C13],[M-CH2O2]+ACN-H[2C13],[M-CO]+ACN-H[2C13],[M-C2H2O2]+ACN-H[2C13],[M-CH4]+ACN-H[2C13],[M-CO2]+ACN-H[2C13],[M-C2H2]+ACN-H[2C13],[2M-H2O]-H[C13],[2M-CH2O2]-H[C13],[2M-CO]-H[C13],[2M-C2H2O2]-H[C13],[2M-CH4]-H[C13],[2M-CO2]-H[C13],[2M-C2H2]-H[C13],[M-H2O]+NH3-H[C13],[M-CH2O2]+NH3-H[C13],[M-CO]+NH3-H[C13],[M-C2H2O2]+NH3-H[C13],[M-CH4]+NH3-H[C13],[M-CO2]+NH3-H[C13],[M-C2H2]+NH3-H[C13],[M-H2O]-H-H[C13],[M-CH2O2]-H-H[C13],[M-CO]-H-H[C13],[M-C2H2O2]-H-H[C13],[M-CH4]-H-H[C13],[M-CO2]-H-H[C13],[M-C2H2]-H-H[C13],[2M-H2O]-H[2C13],[2M-H2O]-H[3C13],[2M-H2O]-H[4C13],[2M-CH2O2]-H[2C13],[2M-CH2O2]-H[3C13],[2M-CH2O2]-H[4C13],[2M-CO]-H[2C13],[2M-CO]-H[3C13],[2M-CO]-H[4C13],[2M-C2H2O2]-H[2C13],[2M-C2H2O2]-H[3C13],[2M-C2H2O2]-H[4C13],[2M-CH4]-H[2C13],[2M-CH4]-H[3C13],[2M-CH4]-H[4C13],[2M-CO2]-H[2C13],[2M-CO2]-H[3C13],[2M-CO2]-H[4C13],[2M-C2H2]-H[2C13],[2M-C2H2]-H[3C13],[2M-C2H2]-H[4C13],[M-H2O]+NH3-H[2C13],[M-CH2O2]+NH3-H[2C13],[M-CO]+NH3-H[2C13],[M-C2H2O2]+NH3-H[2C13],[M-CH4]+NH3-H[2C13],[M-CO2]+NH3-H[2C13],[M-C2H2]+NH3-H[2C13],[M-H2O]-H-H[2C13],[M-CH2O2]-H-H[2C13],[M-CO]-H-H[2C13],[M-C2H2O2]-H-H[2C13],[M-CH4]-H-H[2C13],[M-CO2]-H-H[2C13],[M-C2H2]-H-H[2C13]
Ala-Gly,1.39e+07,7.06e+05,,,,,,,,,,,,,,,,,2.07e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-2_3-Diaminopropanoate,3.63e+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Ornithine,1.74e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dAMP,5.08e+06,5.94e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Aminocyclopropane-1-carboxylate,2.03e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eflornithine,1.54e+07,1.08e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-Glucosamine-6-phosphate,2.07e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Trimethylammoniobutanoate,3.32e+06,2.22e+05,,,,2.23e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Proline,6.42e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5'-Methylthioadenosine,6.70e+06,8.23e+05,,,,,,,,,1.14e+06,,,,,,,,,,,,4.54e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-2-Aminoadipate,8.01e+06,5.31e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiopurine S-methylether,5.73e+07,3.33e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06e+05,,,,,,,,,
Nicotinamide,2.73e+07,1.91e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-(beta-Acetylaminoethyl)imidazole,7.17e+07,5.70e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phenol,5.97e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Methylaminopurine,4.44e+07,2.90e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deoxyadenosine,6.63e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
